old_name,new_name
宮城県桃生郡矢本町,宮城県東松島市
宮城県桃生郡雄勝町,宮城県石巻市
宮城県桃生郡河南町,宮城県石巻市
宮城県桃生郡桃生町,宮城県石巻市
宮城県桃生郡鳴瀬町,宮城県東松島市
宮城県桃生郡北上町,宮城県石巻市
宮城県牡鹿郡牡鹿町,宮城県石巻市
宮城県本吉郡志津川町,宮城県本吉郡南三陸町
宮城県本吉郡津山町,宮城県登米市
宮城県本吉郡本吉町,宮城県気仙沼市
宮城県本吉郡唐桑町,宮城県気仙沼市
宮城県本吉郡歌津町,宮城県本吉郡南三陸町
秋田県本荘市,秋田県由利本荘市
秋田県大曲市,秋田県大仙市
秋田県北秋田郡鷹巣町,秋田県北秋田市
秋田県北秋田郡比内町,秋田県大館市
秋田県北秋田郡森吉町,秋田県北秋田市
秋田県北秋田郡阿仁町,秋田県北秋田市
秋田県北秋田郡田代町,秋田県大館市
秋田県北秋田郡合川町,秋田県北秋田市
秋田県山本郡琴丘町,秋田県山本郡三種町
秋田県山本郡二ツ井町,秋田県能代市
秋田県山本郡八森町,秋田県山本郡八峰町
秋田県山本郡山本町,秋田県山本郡三種町
秋田県山本郡八竜町,秋田県山本郡三種町
秋田県山本郡峰浜村,秋田県山本郡八峰町
秋田県南秋田郡昭和町,秋田県潟上市
秋田県南秋田郡飯田川町,秋田県潟上市
秋田県南秋田郡天王町,秋田県潟上市
秋田県南秋田郡若美町,秋田県男鹿市
秋田県河辺郡河辺町,秋田県秋田市
秋田県河辺郡雄和町,秋田県秋田市
秋田県由利郡仁賀保町,秋田県にかほ市
秋田県由利郡金浦町,秋田県にかほ市
秋田県由利郡象潟町,秋田県にかほ市
秋田県由利郡矢島町,秋田県由利本荘市
秋田県由利郡岩城町,秋田県由利本荘市
秋田県由利郡由利町,秋田県由利本荘市
秋田県由利郡西目町,秋田県由利本荘市
秋田県由利郡鳥海町,秋田県由利本荘市
秋田県由利郡東由利町,秋田県由利本荘市
秋田県由利郡大内町,秋田県由利本荘市
秋田県仙北郡神岡町,秋田県大仙市
秋田県仙北郡西仙北町,秋田県大仙市
秋田県仙北郡角館町,秋田県仙北市
秋田県仙北郡六郷町,秋田県仙北郡美郷町
秋田県仙北郡中仙町,秋田県大仙市
秋田県仙北郡田沢湖町,秋田県仙北市
秋田県仙北郡協和町,秋田県大仙市
秋田県仙北郡南外村,秋田県大仙市
秋田県仙北郡仙北町,秋田県大仙市
秋田県仙北郡西木村,秋田県仙北市
秋田県仙北郡太田町,秋田県大仙市
秋田県仙北郡千畑町,秋田県仙北郡美郷町
秋田県仙北郡仙南村,秋田県仙北郡美郷町
秋田県平鹿郡増田町,秋田県横手市
秋田県平鹿郡平鹿町,秋田県横手市
秋田県平鹿郡雄物川町,秋田県横手市
秋田県平鹿郡大森町,秋田県横手市
秋田県平鹿郡十文字町,秋田県横手市
秋田県平鹿郡山内村,秋田県横手市
秋田県平鹿郡大雄村,秋田県横手市
秋田県雄勝郡稲川町,秋田県湯沢市
秋田県雄勝郡雄勝町,秋田県湯沢市
秋田県雄勝郡皆瀬村,秋田県湯沢市
山形県東田川郡立川町,山形県東田川郡庄内町
山形県東田川郡余目町,山形県東田川郡庄内町
山形県東田川郡藤島町,山形県鶴岡市
山形県東田川郡羽黒町,山形県鶴岡市
山形県東田川郡櫛引町,山形県鶴岡市
山形県東田川郡朝日村,山形県鶴岡市
山形県西田川郡温海町,山形県鶴岡市
山形県飽海郡八幡町,山形県酒田市
山形県飽海郡松山町,山形県酒田市
山形県飽海郡平田町,山形県酒田市
福島県原町市,福島県南相馬市
福島県伊達郡伊達町,福島県伊達市
福島県伊達郡梁川町,福島県伊達市
福島県伊達郡保原町,福島県伊達市
福島県伊達郡霊山町,福島県伊達市
福島県伊達郡月舘町,福島県伊達市
福島県伊達郡飯野町,福島県福島市
福島県安達郡安達町,福島県二本松市
福島県安達郡本宮町,福島県本宮市
福島県安達郡白沢村,福島県本宮市
福島県安達郡岩代町,福島県二本松市
福島県安達郡東和町,福島県二本松市
福島県岩瀬郡長沼町,福島県須賀川市
福島県岩瀬郡岩瀬村,福島県須賀川市
福島県南会津郡田島町,福島県南会津郡南会津町
福島県南会津郡舘岩村,福島県南会津郡南会津町
福島県南会津郡伊南村,福島県南会津郡南会津町
福島県南会津郡南郷村,福島県南会津郡南会津町
福島県北会津郡北会津村,福島県会津若松市
福島県耶麻郡熱塩加納村,福島県喜多方市
福島県耶麻郡塩川町,福島県喜多方市
福島県耶麻郡山都町,福島県喜多方市
福島県耶麻郡高郷村,福島県喜多方市
福島県河沼郡河東町,福島県会津若松市
福島県大沼郡会津高田町,福島県大沼郡会津美里町
福島県大沼郡会津本郷町,福島県大沼郡会津美里町
福島県大沼郡新鶴村,福島県大沼郡会津美里町
福島県西白河郡表郷村,福島県白河市
福島県西白河郡東村,福島県白河市
福島県西白河郡大信村,福島県白河市
福島県田村郡滝根町,福島県田村市
福島県田村郡大越町,福島県田村市
福島県田村郡都路村,福島県田村市
福島県田村郡常葉町,福島県田村市
福島県田村郡船引町,福島県田村市
福島県相馬郡鹿島町,福島県南相馬市
福島県相馬郡小高町,福島県南相馬市
茨城県下館市,茨城県筑西市
茨城県水海道市,茨城県常総市
茨城県岩井市,茨城県坂東市
茨城県東茨城郡小川町,茨城県小美玉市
茨城県東茨城郡美野里町,茨城県小美玉市
茨城県東茨城郡内原町,茨城県水戸市
茨城県東茨城郡常北町,茨城県東茨城郡城里町
茨城県東茨城郡桂村,茨城県東茨城郡城里町
茨城県東茨城郡御前山村,茨城県常陸大宮市
茨城県西茨城郡友部町,茨城県笠間市
茨城県西茨城郡岩間町,茨城県笠間市
茨城県西茨城郡七会村,茨城県東茨城郡城里町
茨城県西茨城郡岩瀬町,茨城県桜川市
茨城県那珂郡那珂町,茨城県那珂市
茨城県那珂郡瓜連町,茨城県那珂市
茨城県那珂郡大宮町,茨城県常陸大宮市
茨城県那珂郡山方町,茨城県常陸大宮市
茨城県那珂郡美和村,茨城県常陸大宮市
茨城県那珂郡緒川村,茨城県常陸大宮市
茨城県久慈郡金砂郷町,茨城県常陸太田市
茨城県久慈郡水府村,茨城県常陸太田市
茨城県久慈郡里美村,茨城県常陸太田市
茨城県多賀郡十王町,茨城県日立市
茨城県鹿島郡旭村,茨城県鉾田市
茨城県鹿島郡鉾田町,茨城県鉾田市
茨城県鹿島郡大洋村,茨城県鉾田市
茨城県鹿島郡神栖町,茨城県神栖市
茨城県鹿島郡波崎町,茨城県神栖市
茨城県行方郡麻生町,茨城県行方市
茨城県行方郡牛堀町,茨城県潮来市
茨城県行方郡潮来町,茨城県潮来市
茨城県行方郡北浦町,茨城県行方市
茨城県行方郡玉造町,茨城県行方市
茨城県稲敷郡江戸崎町,茨城県稲敷市
茨城県稲敷郡茎崎町,茨城県つくば市
茨城県稲敷郡新利根町,茨城県稲敷市
茨城県稲敷郡桜川村,茨城県稲敷市
茨城県稲敷郡東町,茨城県稲敷市
